model_id,model_label,stage,covariate_set,outcome,outcome_label,formula,term_label,p_label,term,estimate,robust_se,statistic,p_value,conf_low,conf_high
S6_z_female_LC_mortality_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,Population aged 65+ (z),<0.001,z_age65,0.6402913667946887,0.08695300108530235,7.363648854011975,1.0101827995646194e-11,0.46986348466749606,0.8107192489218813
S6_z_female_LC_mortality_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelAmericas,0.004,WHO_region_modelAmericas,-0.24981036652528965,0.08470666643286932,-2.9491228618147343,0.0036841052089244125,-0.4158354327337135,-0.08378530031686579
S6_z_female_LC_mortality_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEastern Mediterranean,0.100,WHO_region_modelEastern Mediterranean,-0.1473344558793292,0.08893766528376008,-1.6566035931936287,0.09963568639745864,-0.32165227983549893,0.02698336807684057
S6_z_female_LC_mortality_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEuropean,0.050,WHO_region_modelEuropean,-0.28269387469692825,0.1431062063802957,-1.9754130994548702,0.05000858589745813,-0.5631820392023078,-0.002205710191548693
S6_z_female_LC_mortality_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelSouth-East Asia,0.815,WHO_region_modelSouth-East Asia,0.05430088762117748,0.23135225292621542,0.23471086593868407,0.8147449342364461,-0.39914952811420473,0.5077513033565597
S6_z_female_LC_mortality_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelWestern Pacific,0.569,WHO_region_modelWestern Pacific,0.08355023707355333,0.14656711939048653,0.5700476165527782,0.5694760936079992,-0.20372131693180026,0.3708217910789069
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,Intercept,0.051,(Intercept),0.15073917640177475,0.07652007013410773,1.969929929985583,0.05090850170002711,7.598389389235904e-4,0.3007185138646259
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,Historical female smoking (z),<0.001,z_historical_smoking,0.23535247158710723,0.06597027186144637,3.567553459252142,5.004992481858473e-4,0.10605073873867235,0.3646542044355421
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,HDI (z),0.051,z_HDI,0.15810859282615244,0.08026883572410816,1.9697382103508658,0.05093073387231079,7.816748069004453e-4,0.31543551084540444
S6_z_female_LC_mortality_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_mortality,Female LC mortality,z_female_LC_mortality ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,Urbanisation (z),0.810,z_urbanisation,-0.011677499015093603,0.04843618234196816,-0.2410904090798973,0.8098535512887295,-0.1066124164053512,0.083257418375164
