model_id,model_label,term,estimate,robust_se,statistic,p_value,conf_low,conf_high,n,r_squared,term_label
nonhic_base,Non-high-income: PM2.5 + clean-fuel deficit,z_PM25,0.0794124251837974,0.024603186823390306,3.2277292268617748,0.0016877412254183459,0.030600403261277102,0.1282244471063177,103,0.10243291530672415,z_PM25
nonhic_region_adjusted,Non-high-income: + WHO region,z_PM25,0.10005598899271821,0.03676965046979904,2.721156924646313,0.007738150930160579,0.027059003499003267,0.17305297448643314,103,0.14097307010955576,z_PM25
nonhic_extended_adjusted,"Non-high-income: + WHO region, SDI, urbanisation, age65",z_PM25,0.09208624322901236,0.04769476503214604,1.9307411026544878,0.056594332510307516,-0.002639676991532114,0.18681216344955684,103,0.15701815696003757,z_PM25
nonhic_exclude_cooks,Non-high-income: exclude Cook's distance >4/n (removed 6),z_PM25,0.06423818645463927,0.018651799851458595,3.4440744038766726,8.576520826129628e-4,0.02720460061656419,0.10127177229271436,97,0.1210825277901439,z_PM25
nonhic_winsor_pm25,Non-high-income: winsorised PM2.5 1st/99th percentile,z_PM25_winsor,0.07600148876723509,0.023583173282247218,3.2226998401630276,0.0017147830351258526,0.029213144658851026,0.12278983287561915,103,0.10273752177171865,PM2.5 (winsorised z)
nonhic_robust_regression,Non-high-income: robust regression (M-estimation),z_PM25,0.06382451614480443,NA,NA,NA,NA,NA,103,NA,PM2.5 (z)
