ISO3,Country or territory,WHO region,Income group,Complete four-indicator frame,Complete incidence-model data,Missingness pattern,"Female smoking, 2022 (%)","Clean-fuel access, 2020 (%)","Ambient PM2.5, 2019 (micrograms/m3)","Female lung-cancer incidence, 2021 (age-standardised rate per 100,000)"
UGA,Uganda,African,Low-income,Yes,Yes,Complete four-indicator frame,2.000,1.400,31.313,5.516
UKR,Ukraine,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,11.500,95.300,13.507,6.700
URY,Uruguay,Americas,High-income,Yes,Yes,Complete four-indicator frame,17.500,100.000,8.476,15.556
USA,United States of America,Americas,High-income,Yes,Yes,Complete four-indicator frame,16.800,100.000,7.180,32.503
UZB,Uzbekistan,European,Lower-middle-income,Yes,Yes,Complete four-indicator frame,1.000,80.700,40.979,3.702
VCT,Saint Vincent and the Grenadines,Americas,Upper-middle-income,No,No,Missing female smoking only,,91.900,9.413,6.471
VEN,Venezuela (Bolivarian Republic of),Americas,Unclassified,No,No,Missing female smoking only,,94.550,16.214,12.331
VNM,Viet Nam,Western Pacific,Lower-middle-income,Yes,Yes,Complete four-indicator frame,1.000,95.900,20.892,11.338
VUT,Vanuatu,Western Pacific,Lower-middle-income,No,No,Missing female smoking only,,17.200,8.421,7.517
WSM,Samoa,Western Pacific,Upper-middle-income,Yes,Yes,Complete four-indicator frame,13.300,36.600,7.780,3.308
YEM,Yemen,Eastern Mediterranean,Low-income,Yes,Yes,Complete four-indicator frame,6.500,51.300,41.609,4.195
ZAF,South Africa,African,Upper-middle-income,Yes,Yes,Complete four-indicator frame,6.500,88.100,19.748,11.099
ZMB,Zambia,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,2.700,10.900,16.897,6.251
ZWE,Zimbabwe,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.800,30.300,13.076,9.773
