Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.
smoking z,0.18128161495638176,0.05464847585792088,0.05464847585792088,3.317230940304557,3.317230940304557,0.0011358761508571814,0.0011358761508571814,0.07417060227485683,0.07417060227485683,0.2883926276379067,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z logGDP,0.15200554962060867,0.054971772119597945,0.054971772119597945,2.765156438651853,2.765156438651853,0.006389888727307918,0.006389888727307918,0.044260876266196694,0.044260876266196694,0.25975022297502065,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z urbanisation,-7.292883055481963e-4,0.0484330927863894,0.0484330927863894,-0.015057644754685991,-0.015057644754685991,0.9880058089161062,0.9880058089161062,-0.09565815016687142,-0.09565815016687142,0.09419957355577503,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z age65,0.5884884163561978,0.07311407052928605,0.07311407052928605,8.048907851744858,8.048907851744858,2.1654293987499021e-13,2.1654293987499021e-13,0.4451848381187971,0.4451848381187971,0.7317919945935984,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorAmericas,-0.2631341582925356,0.0852657101859309,0.0852657101859309,-3.0860489840375895,-3.0860489840375895,0.002408213635616509,0.002408213635616509,-0.43025495025696014,-0.43025495025696014,-0.09601336632811105,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEastern Mediterranean,-0.14185280916209572,0.0769631076485658,0.0769631076485658,-1.843127356678913,-1.843127356678913,0.06724537745701258,0.06724537745701258,-0.2927005001532847,-0.2927005001532847,0.008994881829093249,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEuropean,-0.28969008382229233,0.1296398293552367,0.1296398293552367,-2.2345762507021574,-2.2345762507021574,0.02689417456455616,0.02689417456455616,-0.5437841493585562,-0.5437841493585562,-0.035596018286028375,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorSouth-East Asia,-0.16241953706297985,0.09641807611718448,0.09641807611718448,-1.68453409986711,-1.68453409986711,0.09411732933991043,0.09411732933991043,-0.3513989662526614,-0.3513989662526614,0.026559892126701734,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorWestern Pacific,0.04228840437675167,0.15212187786541576,0.15212187786541576,0.2779902862766708,0.2779902862766708,0.7813951221422166,0.7813951221422166,-0.2558704762394632,-0.2558704762394632,0.34044728499296656,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
(Intercept),0.13385995102431167,0.06699545015685002,0.06699545015685002,1.998045400261036,1.998045400261036,0.04748386353007957,0.04748386353007957,0.002548868716885644,0.002548868716885644,0.2651710333317377,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
smoking z,0.19750788780173856,0.053520250122375206,0.053520250122375206,3.6903394014439863,3.6903394014439863,3.1083161477544585e-4,3.1083161477544585e-4,0.09260819756188315,0.09260819756188315,0.30240757804159396,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z logGDP,0.15260588869373487,0.05432839329006802,0.05432839329006802,2.8089527308298536,2.8089527308298536,0.005619298791144375,0.005619298791144375,0.04612223784520156,0.04612223784520156,0.2590895395422682,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
