Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.
WHO region factorWestern Pacific,0.0689500405749271,0.14973779165008436,0.14973779165008436,0.4604718676234615,0.4604718676234615,0.645831348298103,0.645831348298103,-0.22453603105923825,-0.22453603105923825,0.36243611220909244,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
(Intercept),0.09776562690610592,0.06763625695631238,0.06763625695631238,1.4454618174576797,1.4454618174576797,0.15037336041710422,0.15037336041710422,-0.03480143672826634,-0.03480143672826634,0.23033269054047817,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
smoking z,0.11343294653252567,0.05250320450266783,0.05250320450266783,2.160495680349603,2.160495680349603,0.0322907913822718,0.0322907913822718,0.010526665707296726,0.010526665707296726,0.21633922735775463,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z logGDP,0.15054987493758723,0.058645060271361286,0.058645060271361286,2.567136502903497,2.567136502903497,0.011213083311977616,0.011213083311977616,0.03560555680571911,0.03560555680571911,0.2654941930694553,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z urbanisation,0.014066165707972162,0.048116191138458886,0.048116191138458886,0.2923374725878747,0.2923374725878747,0.7704246587824195,0.7704246587824195,-0.08024156892340725,-0.08024156892340725,0.10837390033935157,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z age65,0.6102367027294981,0.07776486127221077,0.07776486127221077,7.847203643730615,7.847203643730615,6.851575993360433e-13,6.851575993360433e-13,0.45781757463596506,0.45781757463596506,0.7626558308230312,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorAmericas,-0.2328740022983059,0.08830773419969312,0.08830773419969312,-2.6370736879252323,-2.6370736879252323,0.009225501147747032,0.009225501147747032,-0.4059571613297044,-0.4059571613297044,-0.059790843266907395,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEastern Mediterranean,-0.1451956007388794,0.08422007279806501,0.08422007279806501,-1.7240023181530109,-1.7240023181530109,0.086727258005662,0.086727258005662,-0.3102669434230868,-0.3102669434230868,0.019875741945328013,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEuropean,-0.2502748664277438,0.13464944809561885,0.13464944809561885,-1.8587143873773302,-1.8587143873773302,0.06498866758541487,0.06498866758541487,-0.5141877846951568,-0.5141877846951568,0.013638051839669096,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorSouth-East Asia,-0.10095647612322235,0.09579584814658187,0.09579584814658187,-1.0538711027302974,-1.0538711027302974,0.2936033712214506,0.2936033712214506,-0.2887163384905228,-0.2887163384905228,0.08680338624407812,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorWestern Pacific,0.09821497112070056,0.14699358531580897,0.14699358531580897,0.6681582118681587,0.6681582118681587,0.5050393123838159,0.5050393123838159,-0.18989245609828503,-0.18989245609828503,0.3863223983396861,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
(Intercept),0.11003789574615006,0.06753362323185547,0.06753362323185547,1.6293794184323493,1.6293794184323493,0.10528989540687421,0.10528989540687421,-0.02232800578828667,-0.02232800578828667,0.24240379728058678,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
smoking z,0.140107782652085,0.05279908060643067,0.05279908060643067,2.6536026961617316,2.6536026961617316,0.008804810068850916,0.008804810068850916,0.03662158466348091,0.03662158466348091,0.2435939806406891,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z logGDP,0.1521132256245944,0.05730132830621829,0.05730132830621829,2.6546195371196517,2.6546195371196517,0.008779503908310123,0.008779503908310123,0.03980262214440654,0.03980262214440654,0.26442382910478224,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z urbanisation,0.008718788592699011,0.0481971442936808,0.0481971442936808,0.18089844783277223,0.18089844783277223,0.8566866935960793,0.8566866935960793,-0.08574761422291535,-0.08574761422291535,0.10318519140831336,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z age65,0.6003696675031461,0.07599626488759001,0.07599626488759001,7.899989142771475,7.899989142771475,5.074037792397529e-13,5.074037792397529e-13,0.4514169883234697,0.4514169883234697,0.7493223466828225,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorAmericas,-0.2429308689666961,0.08700449084853383,0.08700449084853383,-2.7921647100908227,-2.7921647100908227,0.005904078355986217,0.005904078355986217,-0.4134596710298224,-0.4134596710298224,-0.07240206690356979,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEastern Mediterranean,-0.1459912790100391,0.08189471443616875,0.08189471443616875,-1.7826703471056022,-1.7826703471056022,0.07662296544224126,0.07662296544224126,-0.30650491930492985,-0.30650491930492985,0.014522361284851626,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEuropean,-0.2701363844125352,0.13252663789257504,0.13252663789257504,-2.038355372989281,-2.038355372989281,0.04323645389869935,0.04323645389869935,-0.5298885946819822,-0.5298885946819822,-0.01038417414308812,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorSouth-East Asia,-0.12028579992569446,0.09423517064961769,0.09423517064961769,-1.2764427452775293,-1.2764427452775293,0.2037331448149879,0.2037331448149879,-0.30498673439894514,-0.30498673439894514,0.06441513454755621,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorWestern Pacific,0.07678324049732482,0.1492564559517181,0.1492564559517181,0.5144383203240661,0.5144383203240661,0.6076878680639228,0.6076878680639228,-0.21575941316804265,-0.21575941316804265,0.3693258941626923,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
(Intercept),0.07631425167978852,0.06878509490023932,0.06878509490023932,1.1094591319597495,1.1094591319597495,0.2689729352409613,0.2689729352409613,-0.05850453432468054,-0.05850453432468054,0.21113303768425756,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
smoking z,0.05936023439146641,0.056025295709046914,0.056025295709046914,1.0595255882224817,1.0595255882224817,0.2910302750837162,0.2910302750837162,-0.050449345198265536,-0.050449345198265536,0.16916981398119835,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z logGDP,0.1484372532376883,0.06088067665858062,0.06088067665858062,2.4381669420352496,2.4381669420352496,0.01590713149847264,0.01590713149847264,0.02911112698687028,0.02911112698687028,0.2677633794885063,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z urbanisation,0.021810762435770927,0.048421372155714945,0.048421372155714945,0.45043668662736785,0.45043668662736785,0.6530332266048451,0.6530332266048451,-0.07309512698943035,-0.07309512698943035,0.11671665186097221,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
z age65,0.6321995730431959,0.08224797433209742,0.08224797433209742,7.686506302155563,7.686506302155563,1.7010720401246294e-12,1.7010720401246294e-12,0.47099354335228494,0.47099354335228494,0.7934056027341068,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorAmericas,-0.22230420777663315,0.09076571860817376,0.09076571860817376,-2.449208921446405,-2.449208921446405,0.015445898163254061,0.015445898163254061,-0.4002050162486537,-0.4002050162486537,-0.044403399304612595,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEastern Mediterranean,-0.1406535637623528,0.08792074111307292,0.08792074111307292,-1.599776821506331,-1.599776821506331,0.11171103758348369,0.11171103758348369,-0.3129782163439757,-0.3129782163439757,0.03167108881927014,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorEuropean,-0.2089489829437712,0.14048520628891914,0.14048520628891914,-1.4873379800151398,-1.4873379800151398,0.13898355800687762,0.13898355800687762,-0.48429998727005275,-0.48429998727005275,0.0664020213825103,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorSouth-East Asia,-0.09389394643355052,0.09939503417870127,0.09939503417870127,-0.9446542999798119,-0.9446542999798119,0.3463247871671492,0.3463247871671492,-0.288708213423805,-0.288708213423805,0.10092032055670395,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
WHO region factorWestern Pacific,0.13610782087440118,0.1431366470176047,0.1431366470176047,0.9508942937419861,0.9508942937419861,0.34315773253539517,0.34315773253539517,-0.144440007280104,-0.144440007280104,0.4166556490289064,HC3,HC3 robust standard errors reported.,Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female LC mort 2021,female LC mort 2021,163,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor
Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.,Subtable 3. Smoking definition fit.
Sensitivity domain,Model id,Model id,Model label,Model label,Formula,Formula,N,N,N available,N available,R-squared,Adjusted R-squared,Sigma,Sigma,AIC,AIC,BIC,BIC,F p value,F p value,Maximum leverage,Maximum leverage,Max cooks distance
Sensitivity 1: historical smoking definition,S1 primary,S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,163,163,163,163,0.7476121053940675,0.732765758652542,0.4443198806172146,0.4443198806172146,209.79942942026832,209.79942942026832,243.8306816291427,243.8306816291427,2.476673033439265e-41,2.476673033439265e-41,0.25405785045772267,0.25405785045772267,0.18900842251330657
Sensitivity 1: historical smoking definition,S1 smoke2000,S1 smoke2000,Female smoking 2000,Female smoking 2000,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,163,163,163,163,0.7546441523864551,0.7402114554680113,0.43808632004835657,0.43808632004835657,205.1934451266316,205.1934451266316,239.22469733550597,239.22469733550597,2.9446730585557985e-42,2.9446730585557985e-42,0.23238358089327277,0.23238358089327277,0.1949882471024735
Sensitivity 1: historical smoking definition,S1 smoke2005,S1 smoke2005,Female smoking 2005,Female smoking 2005,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,163,163,163,163,0.7469377656326706,0.7320517518463571,0.4449130602026937,0.4449130602026937,210.2343583678416,210.2343583678416,244.26561057671597,244.26561057671597,3.0281010772701036e-41,3.0281010772701036e-41,0.25631388469739763,0.25631388469739763,0.18830412388474888
Sensitivity 1: historical smoking definition,S1 smoke2010,S1 smoke2010,Female smoking 2010,Female smoking 2010,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,163,163,163,163,0.7390654901769154,0.7237164013637927,0.45178025427018725,0.45178025427018725,215.22770224221944,215.22770224221944,249.2589544510938,249.2589544510938,3.0417011619124438e-40,3.0417011619124438e-40,0.2723749957810536,0.2723749957810536,0.18040791350016508
Sensitivity 1: historical smoking definition,S1 smoke2015,S1 smoke2015,Female smoking 2015,Female smoking 2015,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,163,163,163,163,0.732145756153902,0.716389624162955,0.4577314479019109,0.4577314479019109,219.49398448585978,219.49398448585978,253.52523669473416,253.52523669473416,2.1809543167868782e-39,2.1809543167868782e-39,0.27618416451395944,0.27618416451395944,0.17306057507656883
Sensitivity 1: historical smoking definition,S1 cumavg,S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,163,163,163,163,0.736886033964401,0.7214087418446599,0.45366307878099144,0.45366307878099144,216.58350586423288,216.58350586423288,250.61475807310725,250.61475807310725,5.689230955607076e-40,5.689230955607076e-40,0.27104336724507816,0.27104336724507816,0.17854118255613538
Sensitivity 1: historical smoking definition,S1 current2022,S1 current2022,Current female smoking 2022,Current female smoking 2022,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,outcome z ~ smoking z + z logGDP + z urbanisation + z age65 + WHO region factor,163,163,163,163,0.7260484093244423,0.7099336098729389,0.4629119567952709,0.4629119567952709,223.16286152556043,223.16286152556043,257.19411373443484,257.19411373443484,1.1856901960923557e-38,1.1856901960923557e-38,0.2604016098976285,0.2604016098976285,0.16436788775407543
Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step10 sensitivity analyses: sensitivity1 smoking-adjusted burden residual stability; step10 sensitivity analyses: sensitivity1 smoking definition coefficients; step10 sensitivity analyses: sensitivity1 smoking definition fit.
