"Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results."
Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.
Strata type,Strata,Strata,Strata,Strata,Strata,N,N,N,N,N,Status,Status,Status,Status,Status,Term,Term,Term,Term,Term,Estimate,Estimate,Estimate,Estimate,Estimate,Conf low,Conf low,Conf low,Conf low,Conf low,Conf high,Conf high,Conf high,Conf high,Conf high,P value,P value,P value,P value,P value,P label
SDI quintile,"(0.808,0.933]","(0.808,0.933]","(0.808,0.933]","(0.808,0.933]","(0.808,0.933]",0,0,0,0,0,descriptive only: n < 20,descriptive only: n < 20,descriptive only: n < 20,descriptive only: n < 20,descriptive only: n < 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDI quintile,"[0.0777,0.481]","[0.0777,0.481]","[0.0777,0.481]","[0.0777,0.481]","[0.0777,0.481]",32,32,32,32,32,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,0.010063102008259089,0.010063102008259089,0.010063102008259089,0.010063102008259089,0.010063102008259089,-0.03577125280168067,-0.03577125280168067,-0.03577125280168067,-0.03577125280168067,-0.03577125280168067,0.05589745681819884,0.05589745681819884,0.05589745681819884,0.05589745681819884,0.05589745681819884,0.6701402897273825,0.6701402897273825,0.6701402897273825,0.6701402897273825,0.6701402897273825,HC3
SDI quintile,"[0.0777,0.481]","[0.0777,0.481]","[0.0777,0.481]","[0.0777,0.481]","[0.0777,0.481]",32,32,32,32,32,model fitted,model fitted,model fitted,model fitted,model fitted,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,0.06425663751822569,0.06425663751822569,0.06425663751822569,0.06425663751822569,0.06425663751822569,-0.011078437133561297,-0.011078437133561297,-0.011078437133561297,-0.011078437133561297,-0.011078437133561297,0.13959171217001268,0.13959171217001268,0.13959171217001268,0.13959171217001268,0.13959171217001268,0.10532712684578893,0.10532712684578893,0.10532712684578893,0.10532712684578893,0.10532712684578893,HC3
SDI tertile,T1 low,T1 low,T1 low,T1 low,T1 low,53,53,53,53,53,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,0.0063578958365640426,0.0063578958365640426,0.0063578958365640426,0.0063578958365640426,0.0063578958365640426,-0.036497742794879946,-0.036497742794879946,-0.036497742794879946,-0.036497742794879946,-0.036497742794879946,0.04921353446800803,0.04921353446800803,0.04921353446800803,0.04921353446800803,0.04921353446800803,0.772423884301005,0.772423884301005,0.772423884301005,0.772423884301005,0.772423884301005,HC3
SDI tertile,T1 low,T1 low,T1 low,T1 low,T1 low,53,53,53,53,53,model fitted,model fitted,model fitted,model fitted,model fitted,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,0.04237934065508425,0.04237934065508425,0.04237934065508425,0.04237934065508425,0.04237934065508425,-0.018332956339705234,-0.018332956339705234,-0.018332956339705234,-0.018332956339705234,-0.018332956339705234,0.10309163764987374,0.10309163764987374,0.10309163764987374,0.10309163764987374,0.10309163764987374,0.17738244248968796,0.17738244248968796,0.17738244248968796,0.17738244248968796,0.17738244248968796,HC3
SDI tertile,T2 mid,T2 mid,T2 mid,T2 mid,T2 mid,53,53,53,53,53,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,-0.043196586330977206,-0.043196586330977206,-0.043196586330977206,-0.043196586330977206,-0.043196586330977206,-0.11742298982944915,-0.11742298982944915,-0.11742298982944915,-0.11742298982944915,-0.11742298982944915,0.031029817167494735,0.031029817167494735,0.031029817167494735,0.031029817167494735,0.031029817167494735,0.25945559721356193,0.25945559721356193,0.25945559721356193,0.25945559721356193,0.25945559721356193,HC3
SDI tertile,T2 mid,T2 mid,T2 mid,T2 mid,T2 mid,53,53,53,53,53,model fitted,model fitted,model fitted,model fitted,model fitted,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,0.09697913361965646,0.09697913361965646,0.09697913361965646,0.09697913361965646,0.09697913361965646,0.002896941249453125,0.002896941249453125,0.002896941249453125,0.002896941249453125,0.002896941249453125,0.1910613259898598,0.1910613259898598,0.1910613259898598,0.1910613259898598,0.1910613259898598,0.04872009281780088,0.04872009281780088,0.04872009281780088,0.04872009281780088,0.04872009281780088,HC3
SDI tertile,T3 high,T3 high,T3 high,T3 high,T3 high,55,55,55,55,55,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,0.052286419646368903,0.052286419646368903,0.052286419646368903,0.052286419646368903,0.052286419646368903,-0.09008075345088551,-0.09008075345088551,-0.09008075345088551,-0.09008075345088551,-0.09008075345088551,0.19465359274362332,0.19465359274362332,0.19465359274362332,0.19465359274362332,0.19465359274362332,0.4748475254200417,0.4748475254200417,0.4748475254200417,0.4748475254200417,0.4748475254200417,HC3
SDI tertile,T3 high,T3 high,T3 high,T3 high,T3 high,55,55,55,55,55,model fitted,model fitted,model fitted,model fitted,model fitted,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,-0.05578823347929178,-0.05578823347929178,-0.05578823347929178,-0.05578823347929178,-0.05578823347929178,-0.1391896589695502,-0.1391896589695502,-0.1391896589695502,-0.1391896589695502,-0.1391896589695502,0.027613192010966667,0.027613192010966667,0.027613192010966667,0.027613192010966667,0.027613192010966667,0.19559512322514258,0.19559512322514258,0.19559512322514258,0.19559512322514258,0.19559512322514258,HC3
WHO region,African,African,African,African,African,39,39,39,39,39,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,0.11145410549770252,0.11145410549770252,0.11145410549770252,0.11145410549770252,0.11145410549770252,0.06632627230942312,0.06632627230942312,0.06632627230942312,0.06632627230942312,0.06632627230942312,0.15658193868598191,0.15658193868598191,0.15658193868598191,0.15658193868598191,0.15658193868598191,2.4422061328065636e-5,2.4422061328065636e-5,2.4422061328065636e-5,2.4422061328065636e-5,2.4422061328065636e-5,HC3
