Lower-middle-income,Lower-middle-income,48,48,48,63.8 (45.3 to 87.1),63.8 (45.3 to 87.1),63.8 (45.3 to 87.1),63.8 (45.3 to 87.1),33.2 (15.8 to 48.1),33.2 (15.8 to 48.1),33.2 (15.8 to 48.1),77.4 (55.9 to 91.8),77.4 (55.9 to 91.8)
Low-income,Low-income,25,25,25,96.2 (88.3 to 98.8),96.2 (88.3 to 98.8),96.2 (88.3 to 98.8),96.2 (88.3 to 98.8),7.0 (2.1 to 20.8),7.0 (2.1 to 20.8),7.0 (2.1 to 20.8),97.9 (93.6 to 99.0),97.9 (93.6 to 99.0)
Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.,Subtable 3. Clean fuel by region.
WHO region,WHO region,WHO region,N,N,N,N,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Rural disadvantage median iqr,Rural disadvantage median iqr,Rural disadvantage median iqr
African,African,African,47,47,47,47,89.1 (58.1 to 97.3),89.1 (58.1 to 97.3),89.1 (58.1 to 97.3),89.1 (58.1 to 97.3),19.0 (2.3 to 43.0),19.0 (2.3 to 43.0),19.0 (2.3 to 43.0)
Americas,Americas,Americas,35,35,35,35,5.5 (0.0 to 12.6),5.5 (0.0 to 12.6),5.5 (0.0 to 12.6),5.5 (0.0 to 12.6),7.3 (0.0 to 20.3),7.3 (0.0 to 20.3),7.3 (0.0 to 20.3)
Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,19,19,19,19,0.7 (0.0 to 42.7),0.7 (0.0 to 42.7),0.7 (0.0 to 42.7),0.7 (0.0 to 42.7),0.7 (0.0 to 9.3),0.7 (0.0 to 9.3),0.7 (0.0 to 9.3)
European,European,European,52,52,52,52,0.0 (0.0 to 1.7),0.0 (0.0 to 1.7),0.0 (0.0 to 1.7),0.0 (0.0 to 1.7),0.0 (0.0 to 2.8),0.0 (0.0 to 2.8),0.0 (0.0 to 2.8)
South-East Asia,South-East Asia,South-East Asia,10,10,10,10,60.8 (20.1 to 73.5),60.8 (20.1 to 73.5),60.8 (20.1 to 73.5),60.8 (20.1 to 73.5),33.9 (16.4 to 45.7),33.9 (16.4 to 45.7),33.9 (16.4 to 45.7)
Western Pacific,Western Pacific,Western Pacific,28,28,28,28,20.1 (0.0 to 60.4),20.1 (0.0 to 60.4),20.1 (0.0 to 60.4),20.1 (0.0 to 60.4),18.5 (0.0 to 39.7),18.5 (0.0 to 39.7),18.5 (0.0 to 39.7)
Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.,Subtable 4. Clean fuel by priority.
Priority median,Priority median,N,N,N,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Rural disadvantage median iqr,Rural disadvantage median iqr,Rural disadvantage median iqr,Persistent deficit median iqr,Persistent deficit median iqr
High measured exposure / high burden,High measured exposure / high burden,27,27,27,0.0 (0.0 to 42.2),0.0 (0.0 to 42.2),0.0 (0.0 to 42.2),0.0 (0.0 to 42.2),0.0 (0.0 to 31.0),0.0 (0.0 to 31.0),0.0 (0.0 to 31.0),0.0 (0.0 to 54.9),0.0 (0.0 to 54.9)
High measured exposure / lower burden,High measured exposure / lower burden,55,55,55,77.0 (49.6 to 94.9),77.0 (49.6 to 94.9),77.0 (49.6 to 94.9),77.0 (49.6 to 94.9),20.8 (2.3 to 42.4),20.8 (2.3 to 42.4),20.8 (2.3 to 42.4),86.4 (60.1 to 97.0),86.4 (60.1 to 97.0)
Lower measured exposure / high burden,Lower measured exposure / high burden,55,55,55,0.0 (0.0 to 4.4),0.0 (0.0 to 4.4),0.0 (0.0 to 4.4),0.0 (0.0 to 4.4),0.0 (0.0 to 8.1),0.0 (0.0 to 8.1),0.0 (0.0 to 8.1),0.0 (0.0 to 10.6),0.0 (0.0 to 10.6)
Lower measured exposure / lower burden,Lower measured exposure / lower burden,26,26,26,6.1 (0.3 to 27.2),6.1 (0.3 to 27.2),6.1 (0.3 to 27.2),6.1 (0.3 to 27.2),11.4 (0.6 to 42.8),11.4 (0.6 to 42.8),11.4 (0.6 to 42.8),14.2 (3.7 to 43.4),14.2 (3.7 to 43.4)
Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.,Subtable 5. Clean fuel kruskal tests.
Variable,Variable,Variable,Group var,Group var,Group var,Group var,N,N,N,N,P value,P value,P value
clean fuel deficit,clean fuel deficit,clean fuel deficit,income group,income group,income group,income group,187,187,187,187,6.835085638324302e-34,6.835085638324302e-34,6.835085638324302e-34
clean fuel deficit,clean fuel deficit,clean fuel deficit,WHO region,WHO region,WHO region,WHO region,191,191,191,191,9.171150117098185e-19,9.171150117098185e-19,9.171150117098185e-19
clean fuel deficit,clean fuel deficit,clean fuel deficit,priority median,priority median,priority median,priority median,191,191,191,191,1.1138570615797443e-15,1.1138570615797443e-15,1.1138570615797443e-15
rural clean fuel disadvantage,rural clean fuel disadvantage,rural clean fuel disadvantage,income group,income group,income group,income group,187,187,187,187,4.4987029001868505e-27,4.4987029001868505e-27,4.4987029001868505e-27
rural clean fuel disadvantage,rural clean fuel disadvantage,rural clean fuel disadvantage,priority median,priority median,priority median,priority median,191,191,191,191,3.953094251017502e-6,3.953094251017502e-6,3.953094251017502e-6
persistent clean fuel deficit,persistent clean fuel deficit,persistent clean fuel deficit,priority median,priority median,priority median,priority median,191,191,191,191,5.162283049472314e-15,5.162283049472314e-15,5.162283049472314e-15
Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step14 validation robustness: step14 clean fuel correlations; step14 validation robustness: step14 clean fuel by income; step14 validation robustness: step14 clean fuel by region; step14 validation robustness: step14 clean fuel by priority; step14 validation robustness: step14 clean fuel kruskal tests.
