"Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit."
Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Covariate set,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,WHO region modelSouth-East Asia,0.094,WHO region modelSouth-East Asia,WHO region modelSouth-East Asia,-0.16283334547138817,-0.16283334547138817,0.09666372766466057,-1.684534099867107,0.09411732933991097,0.09411732933991097,-0.3522942516941229,-0.3522942516941229,0.026627560751346535
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,WHO region modelWestern Pacific,0.781,WHO region modelWestern Pacific,WHO region modelWestern Pacific,0.04239614570901841,0.04239614570901841,0.1525094501569139,0.2779902862766725,0.7813951221422154,0.7813951221422154,-0.25652237659853283,-0.25652237659853283,0.3413146680165696
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,Intercept,0.105,(Intercept),(Intercept),0.1165241138027145,0.1165241138027145,0.07153689140350838,1.6288674489006354,0.10538502962006856,0.10538502962006856,-0.023688193348161926,-0.023688193348161926,0.25673642095359095
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,Historical female smoking (z),0.007,z historical smoking,z historical smoking,0.16327697916215364,0.16327697916215364,0.059696048439734854,2.7351388145395785,0.006967328064744027,0.006967328064744027,0.04627272422027333,0.04627272422027333,0.28028123410403394
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,SDI (z),0.396,z SDI,z SDI,0.06080763380437655,0.06080763380437655,0.07147600128031782,0.8507419653471998,0.39623353397642236,0.39623353397642236,-0.07928532870504638,-0.07928532870504638,0.20090059631379947
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,Urbanisation (z),0.264,z urbanisation,z urbanisation,0.06333279052969318,0.06333279052969318,0.05644901561752398,1.1219467662432046,0.2636313591382526,0.2636313591382526,-0.047307280080653824,-0.047307280080653824,0.17397286114004018
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,Population aged 65+ (z),<0.001,z age65,z age65,0.6402913667946887,0.6402913667946887,0.08695300108530235,7.363648854011975,1.0101827995646194e-11,1.0101827995646194e-11,0.46986348466749606,0.46986348466749606,0.8107192489218813
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelAmericas,0.004,WHO region modelAmericas,WHO region modelAmericas,-0.24981036652528965,-0.24981036652528965,0.08470666643286932,-2.9491228618147343,0.0036841052089244125,0.0036841052089244125,-0.4158354327337135,-0.4158354327337135,-0.08378530031686579
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelEastern Mediterranean,0.100,WHO region modelEastern Mediterranean,WHO region modelEastern Mediterranean,-0.1473344558793292,-0.1473344558793292,0.08893766528376008,-1.6566035931936287,0.09963568639745864,0.09963568639745864,-0.32165227983549893,-0.32165227983549893,0.02698336807684057
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelEuropean,0.050,WHO region modelEuropean,WHO region modelEuropean,-0.28269387469692825,-0.28269387469692825,0.1431062063802957,-1.9754130994548702,0.05000858589745813,0.05000858589745813,-0.5631820392023078,-0.5631820392023078,-0.002205710191548693
