"Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit."
Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Covariate set,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S6 z female LC DALY primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,WHO region modelSouth-East Asia,0.503,WHO region modelSouth-East Asia,WHO region modelSouth-East Asia,-0.07842868875850756,-0.07842868875850756,0.11674995185455077,-0.6717663477601726,0.5027455239634717,0.5027455239634717,-0.30725859439342706,-0.30725859439342706,0.15040121687641195
S6 z female LC DALY primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,WHO region modelWestern Pacific,0.403,WHO region modelWestern Pacific,WHO region modelWestern Pacific,0.15349636902315797,0.15349636902315797,0.18303755393508303,0.8386058801769047,0.4029987706049939,0.4029987706049939,-0.20525723668960474,-0.20525723668960474,0.5122499747359207
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,Intercept,0.480,(Intercept),(Intercept),0.057686350135229034,0.057686350135229034,0.08156650264302887,0.7072308884897278,0.48049183994721967,0.48049183994721967,-0.10218399504510754,-0.10218399504510754,0.2175566953155656
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,Historical female smoking (z),0.006,z historical smoking,z historical smoking,0.20644287745295534,0.20644287745295534,0.07391008719858644,2.7931624123006533,0.005882339267389548,0.005882339267389548,0.06157910654372592,0.06157910654372592,0.3513066483621847
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,SDI (z),0.512,z SDI,z SDI,0.05378111058083,0.05378111058083,0.08186647756085573,0.6569369073055773,0.5122020322757261,0.5122020322757261,-0.10667718543844722,-0.10667718543844722,0.2142394066001072
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,Urbanisation (z),0.387,z urbanisation,z urbanisation,0.05588920901903498,0.05588920901903498,0.06440730845986765,0.8677463839970844,0.3868833509172198,0.3868833509172198,-0.07034911556230562,-0.07034911556230562,0.1821275336003756
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,Population aged 65+ (z),<0.001,z age65,z age65,0.6155623326415378,0.6155623326415378,0.1377847736225008,4.467564277661331,1.5238807839525684e-5,1.5238807839525684e-5,0.34550417634143626,0.34550417634143626,0.8856204889416394
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelAmericas,0.049,WHO region modelAmericas,WHO region modelAmericas,-0.19530752129696385,-0.19530752129696385,0.09841041347345846,-1.9846225049104056,0.048963026762553256,0.048963026762553256,-0.38819193170494243,-0.38819193170494243,-0.0024231108889852804
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelEastern Mediterranean,0.223,WHO region modelEastern Mediterranean,WHO region modelEastern Mediterranean,-0.10980146811260064,-0.10980146811260064,0.0898119172088549,-1.2225712525127443,0.22335944686801731,0.22335944686801731,-0.28583282584195624,-0.28583282584195624,0.06622988961675497
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelEuropean,0.409,WHO region modelEuropean,WHO region modelEuropean,-0.1489728542417555,-0.1489728542417555,0.18009275916818365,-0.827200687744663,0.40940324201756806,0.40940324201756806,-0.5019546622113955,-0.5019546622113955,0.20400895372788447
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelSouth-East Asia,0.563,WHO region modelSouth-East Asia,WHO region modelSouth-East Asia,0.15113273878676467,0.15113273878676467,0.26071758151200236,0.5796798892897338,0.5629775832396784,0.5629775832396784,-0.35987372097675996,-0.35987372097675996,0.6621391985502894
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,WHO region modelWestern Pacific,0.311,WHO region modelWestern Pacific,WHO region modelWestern Pacific,0.1813076169548514,0.1813076169548514,0.17841309601820426,1.016223702190291,0.3111167687147596,0.3111167687147596,-0.16838205124082897,-0.16838205124082897,0.5309972851505318
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,Intercept,0.301,(Intercept),(Intercept),0.08124054946472507,0.08124054946472507,0.07826992343578952,1.0379536084684249,0.3011609931311937,0.3011609931311937,-0.07216850046942237,-0.07216850046942237,0.23464959939887253
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,Historical female smoking (z),0.001,z historical smoking,z historical smoking,0.2888995242840651,0.2888995242840651,0.08681696476459691,3.327685148489267,0.0011306801389051096,0.0011306801389051096,0.11873827334545517,0.11873827334545517,0.4590607752226751
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,HDI (z),0.122,z HDI,z HDI,0.14171505889120015,0.14171505889120015,0.09095924042801347,1.5580061819376736,0.12159046896357358,0.12159046896357358,-0.03656505234770624,-0.03656505234770624,0.31999517013010653
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,Urbanisation (z),0.630,z urbanisation,z urbanisation,-0.026459917808879112,-0.026459917808879112,0.054832396056197205,-0.482559941056754,0.6301955985176312,0.6301955985176312,-0.13393141407902562,-0.13393141407902562,0.0810115784612674
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,Population aged 65+ (z),<0.001,z age65,z age65,0.5333943714594505,0.5333943714594505,0.13170494034842792,4.049919236502029,8.625365741660961e-5,8.625365741660961e-5,0.2752526883765317,0.2752526883765317,0.7915360545423692
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,WHO region modelAmericas,0.035,WHO region modelAmericas,WHO region modelAmericas,-0.20567983985294175,-0.20567983985294175,0.09677828470514163,-2.1252684988124657,0.03539926720681179,0.03539926720681179,-0.39536527787501935,-0.39536527787501935,-0.015994401830864147
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,WHO region modelEastern Mediterranean,0.096,WHO region modelEastern Mediterranean,WHO region modelEastern Mediterranean,-0.12889531259974504,-0.12889531259974504,0.07688172702226802,-1.6765402858654803,0.09596390655669307,0.09596390655669307,-0.27958349756339035,-0.27958349756339035,0.021792872363900262
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,WHO region modelEuropean,0.353,WHO region modelEuropean,WHO region modelEuropean,-0.15891179539052783,-0.15891179539052783,0.1706630020396011,-0.9311437950309435,0.35345373803165847,0.35345373803165847,-0.493411279388146,-0.493411279388146,0.17558768860709031
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,WHO region modelSouth-East Asia,0.422,WHO region modelSouth-East Asia,WHO region modelSouth-East Asia,-0.10673868941614785,-0.10673868941614785,0.132604174361979,-0.8049421515553176,0.42227898181995127,0.42227898181995127,-0.36664287116562666,-0.36664287116562666,0.153165492333331
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,WHO region modelWestern Pacific,0.749,WHO region modelWestern Pacific,WHO region modelWestern Pacific,-0.057429307966025994,-0.057429307966025994,0.17882944850172958,-0.32114010554291095,0.7486045521827378,0.7486045521827378,-0.407935027029416,-0.407935027029416,0.29307641109736393
Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.,Subtable 2. First stage model fit.
Model id,Model label,Model label,Stage,Stage,Covariate set,Outcome,Outcome label,Outcome label,Formula,Formula,N,N available,R-squared,R-squared,Adjusted R-squared,Adjusted R-squared,Sigma,AIC,BIC,BIC,F statistic,F statistic,F p value
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,163,163,0.7476121053940676,0.7476121053940676,0.7327657586525422,0.7327657586525422,0.44545190762546255,210.62894774998614,244.66019995886052,244.66019995886052,50.356637791773124,50.356637791773124,2.476673033439231e-41
S6 z female LC mortality sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,164,164,0.7237187986997476,0.7237187986997476,0.7075724947276549,0.7075724947276549,0.47063256037822415,229.88771347306732,263.9862441791335,263.9862441791335,44.822567440240555,44.822567440240555,1.2043493393798304e-38
S6 z female LC mortality sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,144,144,0.8048025138111206,0.8048025138111206,0.7916922348879869,0.7916922348879869,0.3945756947243387,152.46616039848521,185.13410669382122,185.13410669382122,61.3871389411105,61.3871389411105,3.25684520224417e-43
S6 z female LC YLL primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC YLL,Female LC YLL,Female LC YLL,z female LC YLL ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC YLL ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,163,163,0.7122246471387017,0.7122246471387017,0.6952966852056841,0.6952966852056841,0.5129641080559466,256.6329555338973,290.6642077427717,290.6642077427717,42.07385685039415,42.07385685039415,4.7954743985384794e-37
S6 z female LC YLL sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC YLL,Female LC YLL,Female LC YLL,z female LC YLL ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC YLL ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,164,164,0.6904103356807431,0.6904103356807431,0.6723174332205267,0.6723174332205267,0.537642290348902,273.5496920107753,307.6482227168415,307.6482227168415,38.1591807726182,38.1591807726182,6.560643581737793e-35
S6 z female LC YLL sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC YLL,Female LC YLL,Female LC YLL,z female LC YLL ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC YLL ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,144,144,0.7818064852390574,0.7818064852390574,0.7671516969342179,0.7671516969342179,0.44729795706107756,188.58537690029942,221.25332319563543,221.25332319563543,53.34819370818769,53.34819370818769,5.130783914635611e-40
S6 z female LC DALY primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,163,163,0.7139272000479707,0.7139272000479707,0.6970993882860866,0.6970993882860866,0.5102604324930825,254.91016596069682,288.9414181695712,288.9414181695712,42.42543297667824,42.42543297667824,3.0708033046420295e-37
S6 z female LC DALY sensitivity SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity SDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z SDI + z urbanisation + z age65 + WHO region model,164,164,0.6923755728814898,0.6923755728814898,0.6743975219459923,0.6743975219459923,0.5345105672932638,271.63353224618504,305.7320629522512,305.7320629522512,38.512271178095624,38.512271178095624,4.0572553405767345e-35
S6 z female LC DALY sensitivity HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,Step 6,sensitivity HDI,z female LC DALY,Female LC DALY,Female LC DALY,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,z female LC DALY ~ z historical smoking + z HDI + z urbanisation + z age65 + WHO region model,144,144,0.7826569481254277,0.7826569481254277,0.7680592804622102,0.7680592804622102,0.4455790319649993,187.47648722043502,220.14443351577103,220.14443351577103,53.61520526306587,53.61520526306587,3.964312886659333e-40
Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.,Subtable 3. First stage diagnostics.
Model id,Model id,Stage,Stage,Covariate set,Covariate set,Outcome,Outcome,Residual mean,Residual mean,Residual sd,Residual sd,Shapiro w,Shapiro w,Shapiro p,Shapiro p,Breusch pagan statistic,Breusch pagan statistic,Breusch pagan p,Breusch pagan p,Max cooks distance,Max cooks distance,N cooks gt 4 over N,N cooks gt 4 over N
S6 z female LC mortality primary logGDP,S6 z female LC mortality primary logGDP,Step 6,Step 6,primary logGDP,primary logGDP,z female LC mortality,z female LC mortality,2.7625553459964803e-17,2.7625553459964803e-17,0.4329014408051908,0.4329014408051908,0.8391820995959132,0.8391820995959132,4.188371921021421e-12,4.188371921021421e-12,14.998398995721454,14.998398995721454,0.09097996281172757,0.09097996281172757,0.1890084225133065,0.1890084225133065,8,8
S6 z female LC mortality sensitivity SDI,S6 z female LC mortality sensitivity SDI,Step 6,Step 6,sensitivity SDI,sensitivity SDI,z female LC mortality,z female LC mortality,-1.6260501818110892e-17,-1.6260501818110892e-17,0.457455157618494,0.457455157618494,0.8428421169489336,0.8428421169489336,5.4654843438242105e-12,5.4654843438242105e-12,17.538192702745818,17.538192702745818,0.04092544179337801,0.04092544179337801,0.2159604673477034,0.2159604673477034,10,10
S6 z female LC mortality sensitivity HDI,S6 z female LC mortality sensitivity HDI,Step 6,Step 6,sensitivity HDI,sensitivity HDI,z female LC mortality,z female LC mortality,7.806255641895632e-18,7.806255641895632e-18,0.3819572081641606,0.3819572081641606,0.881900859063884,0.881900859063884,2.474411326512368e-9,2.474411326512368e-9,25.343917795266933,25.343917795266933,0.0026133885594357064,0.0026133885594357064,0.09711489984677665,0.09711489984677665,8,8
S6 z female LC YLL primary logGDP,S6 z female LC YLL primary logGDP,Step 6,Step 6,primary logGDP,primary logGDP,z female LC YLL,z female LC YLL,-7.087675500918504e-18,-7.087675500918504e-18,0.49851150630940855,0.49851150630940855,0.8360549948123766,0.8360549948123766,3.0821437055169713e-12,3.0821437055169713e-12,18.02598978467583,18.02598978467583,0.03487320646511099,0.03487320646511099,0.2036353746541431,0.2036353746541431,8,8
S6 z female LC YLL sensitivity SDI,S6 z female LC YLL sensitivity SDI,Step 6,Step 6,sensitivity SDI,sensitivity SDI,z female LC YLL,z female LC YLL,-1.0584275796807614e-17,-1.0584275796807614e-17,0.5225886591362685,0.5225886591362685,0.8403189522403178,0.8403189522403178,4.247058705213079e-12,4.247058705213079e-12,20.472946464224197,20.472946464224197,0.015207770432147426,0.015207770432147426,0.23157790452877008,0.23157790452877008,10,10
S6 z female LC YLL sensitivity HDI,S6 z female LC YLL sensitivity HDI,Step 6,Step 6,sensitivity HDI,sensitivity HDI,z female LC YLL,z female LC YLL,1.6601110494528683e-18,1.6601110494528683e-18,0.43299341845153766,0.43299341845153766,0.8884298177765186,0.8884298177765186,5.318973499366818e-9,5.318973499366818e-9,28.366143496379106,28.366143496379106,8.283258556799357e-4,8.283258556799357e-4,0.20235779647853444,0.20235779647853444,11,11
S6 z female LC DALY primary logGDP,S6 z female LC DALY primary logGDP,Step 6,Step 6,primary logGDP,primary logGDP,z female LC DALY,z female LC DALY,-6.499907386820103e-18,-6.499907386820103e-18,0.49588400595168697,0.49588400595168697,0.8379127668278299,0.8379127668278299,3.696323894158623e-12,3.696323894158623e-12,18.07681089018511,18.07681089018511,0.03429278279316868,0.03429278279316868,0.20015363515116635,0.20015363515116635,8,8
S6 z female LC DALY sensitivity SDI,S6 z female LC DALY sensitivity SDI,Step 6,Step 6,sensitivity SDI,sensitivity SDI,z female LC DALY,z female LC DALY,2.5411236329711133e-17,2.5411236329711133e-17,0.5195446222704743,0.5195446222704743,0.8424161058167576,0.8424161058167576,5.236613782598829e-12,5.236613782598829e-12,20.523270095338276,20.523270095338276,0.014943901714974877,0.014943901714974877,0.22791828603177464,0.22791828603177464,10,10
S6 z female LC DALY sensitivity HDI,S6 z female LC DALY sensitivity HDI,Step 6,Step 6,sensitivity HDI,sensitivity HDI,z female LC DALY,z female LC DALY,4.055352582350552e-18,4.055352582350552e-18,0.4313294643876665,0.4313294643876665,0.8890394757462428,0.8890394757462428,5.721100046041971e-9,5.721100046041971e-9,28.415900821136834,28.415900821136834,8.125611661132798e-4,8.125611661132798e-4,0.19743871192598075,0.19743871192598075,10,10
