"Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit."
Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Model code,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S7 YLL-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z PM2.5,YLL-based smoking-adjusted burden residual ~ z PM2.5,PM2.5 (z),0.420,z PM2.5,z PM2.5,0.026050136046241085,0.026050136046241085,0.03224616596224386,0.8078521978936183,0.42036765786478125,0.42036765786478125,-0.03715234923975688,-0.03715234923975688,0.08925262133223905
S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,Intercept,0.972,(Intercept),(Intercept),0.0014081367236657833,0.0014081367236657833,0.039424068010170114,0.03571769212914634,0.9715525487141973,0.9715525487141973,-0.07586303657626764,-0.07586303657626764,0.07867931002359921
S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,Clean-fuel deficit (z),0.646,z clean fuel deficit,z clean fuel deficit,-0.014149674617819902,-0.014149674617819902,0.030792081565479294,-0.4595231598010238,0.6464901600775794,0.6464901600775794,-0.07450215448615932,-0.07450215448615932,0.046202805250519514
S7 YLL-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,PM2.5 (z),0.327,z PM2.5,z PM2.5,0.029716769820172018,0.029716769820172018,0.030238473373697478,0.982747027368807,0.32723441879586546,0.32723441879586546,-0.029550637992275038,-0.029550637992275038,0.08898417763261907
S7 YLL-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Intercept,0.972,(Intercept),(Intercept),0.0014067044800927535,0.0014067044800927535,0.03949339589611307,0.035618726832027145,0.9716316224441246,0.9716316224441246,-0.07600035147628886,-0.07600035147628886,0.07881376043647437
S7 YLL-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Clean-fuel deficit (z),0.624,z clean fuel deficit,z clean fuel deficit,-0.01388140743981181,-0.01388140743981181,0.028238002191128063,-0.4915860316836837,0.6236985813223255,0.6236985813223255,-0.06922789173442281,-0.06922789173442281,0.04146507685479919
S7 YLL-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Rural clean-fuel disadvantage (z),0.981,z rural clean fuel disadvantage,z rural clean fuel disadvantage,-6.450982031845189e-4,-6.450982031845189e-4,0.02750094821454421,-0.023457307659062857,0.9813152798258195,0.9813152798258195,-0.05454695670369117,-0.05454695670369117,0.053256760297322125
S7 YLL-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,PM2.5 (z),0.312,z PM2.5,z PM2.5,0.029779638916203107,0.029779638916203107,0.029342984216922517,1.0148810596786118,0.3117239863969692,0.3117239863969692,-0.027732610148965022,-0.027732610148965022,0.08729188798137123
S7 YLL-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,Intercept,0.855,(Intercept),(Intercept),-0.017674315340928278,-0.017674315340928278,0.09630490794563173,-0.18352455464581505,0.854627868096725,0.854627868096725,-0.20643193491436648,-0.20643193491436648,0.17108330423250992
S7 YLL-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,Clean-fuel deficit (z),0.272,z clean fuel deficit,z clean fuel deficit,-0.04490719438043534,-0.04490719438043534,0.04075228754622866,-1.1019551805403176,0.27220038134492897,0.27220038134492897,-0.1247816779710435,-0.1247816779710435,0.03496728921017283
S7 YLL-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,PM2.5 (z),0.458,z PM2.5,z PM2.5,0.022480626474061356,0.022480626474061356,0.030195822269567307,0.7444945950923262,0.45771186867786273,0.45771186867786273,-0.03670318517429056,-0.03670318517429056,0.08166443812241328
S7 YLL-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelUpper-middle-income,0.922,income group modelUpper-middle-income,income group modelUpper-middle-income,-0.010897328297153841,-0.010897328297153841,0.11110948853304836,-0.09807738691833276,0.9219983814610333,0.9219983814610333,-0.22867192582192863,-0.22867192582192863,0.20687726922762095
S7 YLL-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelLower-middle-income,0.880,income group modelLower-middle-income,income group modelLower-middle-income,0.016311411860454626,0.016311411860454626,0.10768206091916738,0.1514775230082098,0.8797972917009991,0.8797972917009991,-0.19474542754111343,-0.19474542754111343,0.22736825126202267
S7 YLL-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelLow-income,0.272,income group modelLow-income,income group modelLow-income,0.14244395313156383,0.14244395313156383,0.1290984801003165,1.10337436212167,0.27158579996524373,0.27158579996524373,-0.11058906786505651,-0.11058906786505651,0.39547697412818417
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,Intercept,0.872,(Intercept),(Intercept),-0.01157815371736347,-0.01157815371736347,0.07146760732401268,-0.16200561556330823,0.8715151818961576,0.8715151818961576,-0.15165466407242834,-0.15165466407242834,0.12849835663770137
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,Clean-fuel deficit (z),0.766,z clean fuel deficit,z clean fuel deficit,-0.01779630589217844,-0.01779630589217844,0.059565337760796165,-0.298769495165884,0.7655213350663422,0.7655213350663422,-0.1345443679033389,-0.1345443679033389,0.09895175611898203
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,PM2.5 (z),0.184,z PM2.5,z PM2.5,0.05439109835309746,0.05439109835309746,0.04079990392047067,1.333118295060681,0.18447459516538756,0.18447459516538756,-0.02557671333102505,-0.02557671333102505,0.13435891003721998
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelAmericas,0.789,WHO region modelAmericas,WHO region modelAmericas,0.03283099765252712,0.03283099765252712,0.12217836276634073,0.2687136814504101,0.788512015463162,0.788512015463162,-0.2066385933695007,-0.2066385933695007,0.2723005886745549
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelEastern Mediterranean,0.471,WHO region modelEastern Mediterranean,WHO region modelEastern Mediterranean,-0.08969295595233902,-0.08969295595233902,0.12408963611905387,-0.7228077924758032,0.4709014293638554,0.4709014293638554,-0.3329086427456846,-0.3329086427456846,0.15352273084100654
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelEuropean,0.806,WHO region modelEuropean,WHO region modelEuropean,0.03421320942298325,0.03421320942298325,0.13920308304983758,0.2457791068516364,0.8061826248908878,0.8061826248908878,-0.2386248333546984,-0.2386248333546984,0.30705125220066487
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelSouth-East Asia,0.896,WHO region modelSouth-East Asia,WHO region modelSouth-East Asia,-0.014930747591327622,-0.014930747591327622,0.11367395996675944,-0.13134712290918407,0.8956732717316882,0.8956732717316882,-0.2377317091261761,-0.2377317091261761,0.20787021394352087
S7 YLL-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual residual,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,YLL-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,WHO region modelWestern Pacific,0.796,WHO region modelWestern Pacific,WHO region modelWestern Pacific,0.03817043164553003,0.03817043164553003,0.14733093199681188,0.25907955056142595,0.7959221072594802,0.7959221072594802,-0.2505981950682213,-0.2505981950682213,0.32693905835928133
S7 DALY-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit,Intercept,0.938,(Intercept),(Intercept),0.002991978839081031,0.002991978839081031,0.03822938521093598,0.07826384919800225,0.9377165791349845,0.9377165791349845,-0.07193761617435349,-0.07193761617435349,0.07792157385251555
S7 DALY-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit,Clean-fuel deficit (z),0.938,z clean fuel deficit,z clean fuel deficit,-0.002585107526118878,-0.002585107526118878,0.033238837146947364,-0.0777737053402391,0.9381058489474455,0.9381058489474455,-0.06773322833413571,-0.06773322833413571,0.06256301328189796
S7 DALY-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z PM2.5,DALY-based smoking-adjusted burden residual ~ z PM2.5,Intercept,0.984,(Intercept),(Intercept),-8.16894091333902e-4,-8.16894091333902e-4,0.0398266672738167,-0.020511233985951765,0.9836609484063183,0.9836609484063183,-0.07887716194801463,-0.07887716194801463,0.07724337376534683
S7 DALY-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z PM2.5,DALY-based smoking-adjusted burden residual ~ z PM2.5,PM2.5 (z),0.417,z PM2.5,z PM2.5,0.0261165211740238,0.0261165211740238,0.03211917581960265,0.8131130549771027,0.41735404170752843,0.41735404170752843,-0.0368370634323974,-0.0368370634323974,0.089070105780445
S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,Intercept,0.970,(Intercept),(Intercept),0.001473764587903486,0.001473764587903486,0.039216284087193305,0.037580424107157236,0.9700696561356863,0.9700696561356863,-0.07539015222299539,-0.07539015222299539,0.07833768139880237
S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,Clean-fuel deficit (z),0.662,z clean fuel deficit,z clean fuel deficit,-0.013424037614957949,-0.013424037614957949,0.030616848567385363,-0.43845262471781377,0.6616571123940692,0.6616571123940692,-0.07343306080703325,-0.07343306080703325,0.04658498557711736
S7 DALY-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,PM2.5 (z),0.328,z PM2.5,z PM2.5,0.029548048948490387,0.029548048948490387,0.030114250504094407,0.9811982185800361,0.3279950553916753,0.3279950553916753,-0.02947588203953465,-0.02947588203953465,0.08857197993651543
S7 DALY-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Intercept,0.970,(Intercept),(Intercept),0.001471968524964879,0.001471968524964879,0.03928485706984705,0.037469107303808494,0.9701585718901685,0.9701585718901685,-0.07552635133193533,-0.07552635133193533,0.0784702883818651
S7 DALY-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Clean-fuel deficit (z),0.642,z clean fuel deficit,z clean fuel deficit,-0.013087625048589862,-0.013087625048589862,0.028059955949948027,-0.4664164502586863,0.6415639588917149,0.6415639588917149,-0.06808513871048799,-0.06808513871048799,0.04190988861330827
S7 DALY-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Rural clean-fuel disadvantage (z),0.976,z rural clean fuel disadvantage,z rural clean fuel disadvantage,-8.089664330317938e-4,-8.089664330317938e-4,0.027327525375604365,-0.029602623066410857,0.976421570212911,0.976421570212911,-0.05437091616921635,-0.05437091616921635,0.05275298330315276
S7 DALY-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,PM2.5 (z),0.312,z PM2.5,z PM2.5,0.02962688808974523,0.02962688808974523,0.02922190779900358,1.0138587902448812,0.3122100482277929,0.3122100482277929,-0.027648051196301787,-0.027648051196301787,0.08690182737579225
S7 DALY-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,Intercept,0.854,(Intercept),(Intercept),-0.017595738979333565,-0.017595738979333565,0.0957894595791621,-0.1836918076021938,0.8544968770367485,0.8544968770367485,-0.20534307975449126,-0.20534307975449126,0.17015160179582414
S7 DALY-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,Clean-fuel deficit (z),0.271,z clean fuel deficit,z clean fuel deficit,-0.0447099243465707,-0.0447099243465707,0.04047269822119878,-1.1046934430270465,0.27101542858569055,0.27101542858569055,-0.12403641286012031,-0.12403641286012031,0.034616564166978905
S7 DALY-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,PM2.5 (z),0.462,z PM2.5,z PM2.5,0.02215535470806657,0.02215535470806657,0.03006061764752996,0.737022604387074,0.4622299765262414,0.4622299765262414,-0.03676345588109216,-0.03676345588109216,0.08107416529722529
S7 DALY-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual residual,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,DALY-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelUpper-middle-income,0.912,income group modelUpper-middle-income,income group modelUpper-middle-income,-0.012253217491855449,-0.012253217491855449,0.11049207042816805,-0.11089680412696568,0.9118425767982928,0.9118425767982928,-0.22881767553106483,-0.22881767553106483,0.20431124054735392
