"Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit."
Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Model code,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S7 mortality-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Clean-fuel deficit (z),0.790,z clean fuel deficit,z clean fuel deficit,0.006164162144702196,0.006164162144702196,0.023082454101576645,0.2670496870729683,0.7897813633070897,0.7897813633070897,-0.03907744789438803,-0.03907744789438803,0.05140577218379242
S7 mortality-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Rural clean-fuel disadvantage (z),0.536,z rural clean fuel disadvantage,z rural clean fuel disadvantage,-0.014134617531537733,-0.014134617531537733,0.022789230700688376,-0.620232324521195,0.5360040687799257,0.5360040687799257,-0.05880150970488695,-0.05880150970488695,0.030532274641811484
S7 mortality-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,PM2.5 (z),0.334,z PM2.5,z PM2.5,0.02492258191689731,0.02492258191689731,0.025742065095387116,0.9681656007218841,0.33445075007217284,0.33445075007217284,-0.025531865670061434,-0.025531865670061434,0.07537702950385605
S7 mortality-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,Intercept,0.990,(Intercept),(Intercept),-0.00102800071981035,-0.00102800071981035,0.08313600603313064,-0.012365288746258512,0.9901501829033693,0.9901501829033693,-0.1639745725447464,-0.1639745725447464,0.1619185711051257
S7 mortality-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,Clean-fuel deficit (z),0.311,z clean fuel deficit,z clean fuel deficit,-0.03461239015712227,-0.03461239015712227,0.03404293064912961,-1.0167276875737261,0.31087766365502323,0.31087766365502323,-0.1013365342294163,-0.1013365342294163,0.03211175391517176
S7 mortality-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,PM2.5 (z),0.574,z PM2.5,z PM2.5,0.014773032060710367,0.014773032060710367,0.02618897838583813,0.5640934840245233,0.5735111084026645,0.5735111084026645,-0.036557365575532366,-0.036557365575532366,0.0661034296969531
S7 mortality-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelUpper-middle-income,0.546,income group modelUpper-middle-income,income group modelUpper-middle-income,-0.058005806257241596,-0.058005806257241596,0.09580035875009735,-0.6054863156468363,0.5457471945885296,0.5457471945885296,-0.2457745094074324,-0.2457745094074324,0.12976289689294918
S7 mortality-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelLower-middle-income,0.967,income group modelLower-middle-income,income group modelLower-middle-income,0.0038026055050040613,0.0038026055050040613,0.09234953685377224,0.04117622713176319,0.9672087412393624,0.9672087412393624,-0.17720248672838954,-0.17720248672838954,0.18480769773839764
S7 mortality-based smoking-adjusted burden residual E income sensitivity,Model E1: income-group sensitivity,Model E1: income-group sensitivity,Step 7,Step 7,E income sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + income group model,income group modelLow-income,0.152,income group modelLow-income,income group modelLow-income,0.1578075732130543,0.1578075732130543,0.10958447712773878,1.4400540783627918,0.1518819099377872,0.1518819099377872,-0.0569780019573137,-0.0569780019573137,0.3725931483834223
S7 mortality-based smoking-adjusted burden residual E region sensitivity,Model E2: WHO-region sensitivity,Model E2: WHO-region sensitivity,Step 7,Step 7,E region sensitivity,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5 + WHO region model,Intercept,0.525,(Intercept),(Intercept),-0.04115773371773065,-0.04115773371773065,0.06459068590782391,-0.6372084943712478,0.5249413838645276,0.5249413838645276,-0.1677554780970655,-0.1677554780970655,0.0854400106616042
