Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.
Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.
Group type,Group,Group N,Variable,Label,Domain,Unit,N,Median,Q1,Q3,Iqr,Min,Max,Range,Median iqr,Notes
WHO region,Americas,36,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",36,7.567142963409424,4.047254920005798,12.571797132492065,8.524542212486267,2.047902584075928,49.90150451660156,2.05 to 49.90,7.57 (4.05-12.57),"Female trachea, bronchus, lung cancer mortality rate in 2021."
WHO region,Americas,36,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",36,166.9594955444336,94.77733421325684,272.83008575439453,178.0527515411377,48.21994400024414,945.0972900390624,48.22 to 945.10,166.96 (94.78-272.83),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
WHO region,Americas,36,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",36,168.7456308671148,96.11097616592617,276.38082107446485,180.2698449085387,48.94625359281852,963.1437379584617,48.95 to 963.14,168.75 (96.11-276.38),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
WHO region,Americas,36,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,26,-0.4715944185104415,-0.6323343436698734,-0.25658699866019785,0.37574734500967555,-0.9054262601290354,0.2588252318315059,-0.91 to 0.26,-0.47 (-0.63--0.26),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
WHO region,Americas,36,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,26,-0.027170669487126,-0.24284695462572164,0.1314734266997061,0.3743203813254278,-0.4995089745217766,1.048949212133635,-0.50 to 1.05,-0.03 (-0.24-0.13),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
WHO region,Americas,36,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,26,-0.0328609969769927,-0.2777778064064398,0.1953681208910279,0.4731459272974677,-0.664100293556242,1.0146080378652198,-0.66 to 1.01,-0.03 (-0.28-0.20),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
WHO region,Americas,36,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,26,-0.0325626233463476,-0.2775931838586037,0.19245190816499158,0.4700450920235953,-0.6636392033788819,1.0217233257261802,-0.66 to 1.02,-0.03 (-0.28-0.19),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
WHO region,Eastern Mediterranean,22,historical female smoking,Historical female smoking,Tobacco exposure,%,16,3.916666666666667,2.95,7.341666666666667,4.391666666666667,0.5333333333333333,29.933333333333337,0.53 to 29.93,3.92 (2.95-7.34),"Mean of female smoking prevalence in 2000, 2005, and 2010."
WHO region,Eastern Mediterranean,22,female smoking 2022,Current female smoking,Tobacco exposure,%,16,2.0,1.475,3.525,2.05,0.4,25.7,0.40 to 25.70,2.00 (1.48-3.52),Female age-standardized current tobacco smoking prevalence in 2022.
WHO region,Eastern Mediterranean,22,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,19,0.7000000000000028,0.0,42.650000000000006,42.650000000000006,0.0,96.3,0.00 to 96.30,0.70 (0.00-42.65),100 minus national clean fuel access in 2020.
