Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.
Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.
Group type,Group,Group N,Variable,Label,Domain,Unit,N,Median,Q1,Q3,Iqr,Min,Max,Range,Median iqr,Notes
WHO region,Western Pacific,29,female smoking 2022,Current female smoking,Tobacco exposure,%,25,7.6,4.0,15.5,11.5,0.5,44.6,0.50 to 44.60,7.60 (4.00-15.50),Female age-standardized current tobacco smoking prevalence in 2022.
WHO region,Western Pacific,29,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,28,20.050000000000004,0.0,60.4,60.4,0.0,91.4,0.00 to 91.40,20.05 (0.00-60.40),100 minus national clean fuel access in 2020.
WHO region,Western Pacific,29,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,28,18.450000000000003,0.0,39.6625,39.6625,-0.2999999999999971,86.2,-0.30 to 86.20,18.45 (0.00-39.66),Urban clean fuel access minus rural clean fuel access in 2020.
WHO region,Western Pacific,29,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,28,8.515385,7.59378,19.727925,12.134145,6.74203,41.30377,6.74 to 41.30,8.52 (7.59-19.73),National annual mean PM2.5 in 2019.
WHO region,Western Pacific,29,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",29,12.228049278259276,6.513805389404297,18.12651252746582,11.612707138061523,1.521994709968567,64.49018096923828,1.52 to 64.49,12.23 (6.51-18.13),"Female trachea, bronchus, lung cancer mortality rate in 2021."
WHO region,Western Pacific,29,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",29,321.7373962402344,182.1535797119141,386.1349182128906,203.98133850097653,47.99360656738281,1414.0728759765625,47.99 to 1414.07,321.74 (182.15-386.13),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
WHO region,Western Pacific,29,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",28,313.8599831874815,178.80618814139532,386.5235417373915,207.71735359599617,48.87568646318362,1426.3360957791172,48.88 to 1426.34,313.86 (178.81-386.52),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
WHO region,Western Pacific,29,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,25,-0.0951457116324255,-0.5226585732938591,0.0849363677688378,0.607594941062697,-0.8617053188216444,0.7367547029837569,-0.86 to 0.74,-0.10 (-0.52-0.08),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
WHO region,Western Pacific,29,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,24,-0.0933716587080465,-0.39072965487218625,0.0681057250948358,0.45883537996702206,-0.5914332516009005,2.578295168407663,-0.59 to 2.58,-0.09 (-0.39-0.07),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
WHO region,Western Pacific,29,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,24,-0.14898923171077377,-0.3714836298250148,0.15178355566749938,0.5232671854925142,-1.153387447386238,3.0697992611439204,-1.15 to 3.07,-0.15 (-0.37-0.15),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
WHO region,Western Pacific,29,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,24,-0.15200285758308452,-0.3645579262337041,0.15507882311172946,0.5196367493454336,-1.1362978455869082,3.039239092806412,-1.14 to 3.04,-0.15 (-0.36-0.16),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.,Subtable 2. Descriptive by income group.
Group type,Group,Group N,Variable,Label,Domain,Unit,N,Median,Q1,Q3,Iqr,Min,Max,Range,Median iqr,Notes
Income group,Low-income,25,historical female smoking,Historical female smoking,Tobacco exposure,%,18,3.016666666666666,1.3083333333333333,5.449999999999999,4.141666666666666,0.0,11.2,0.00 to 11.20,3.02 (1.31-5.45),"Mean of female smoking prevalence in 2000, 2005, and 2010."
Income group,Low-income,25,female smoking 2022,Current female smoking,Tobacco exposure,%,18,1.3,0.6,2.0,1.4,0.0,6.5,0.00 to 6.50,1.30 (0.60-2.00),Female age-standardized current tobacco smoking prevalence in 2022.
Income group,Low-income,25,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,25,96.2,88.3,98.8,10.5,7.599999999999994,100.0,7.60 to 100.00,96.20 (88.30-98.80),100 minus national clean fuel access in 2020.
Income group,Low-income,25,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,25,7.0,2.1,20.8,18.7,0.0,68.10000000000001,0.00 to 68.10,7.00 (2.10-20.80),Urban clean fuel access minus rural clean fuel access in 2020.
Income group,Low-income,25,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,25,34.84998,22.74486,39.4217,16.676840000000002,14.27733,62.48616,14.28 to 62.49,34.85 (22.74-39.42),National annual mean PM2.5 in 2019.
Income group,Low-income,25,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",25,0.8934282660484314,0.6027061343193054,1.6151819229125977,1.0124757885932922,0.0455776564776897,45.48320007324219,0.05 to 45.48,0.89 (0.60-1.62),"Female trachea, bronchus, lung cancer mortality rate in 2021."
Income group,Low-income,25,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",25,26.089439392089844,17.2054500579834,42.66845703125,25.4630069732666,1.097314476966858,953.3445434570312,1.10 to 953.34,26.09 (17.21-42.67),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
Income group,Low-income,25,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",25,26.582370328643705,17.55898168988617,43.299009918009865,25.740028228123695,1.2779025274710822,958.3100208869768,1.28 to 958.31,26.58 (17.56-43.30),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
Income group,Low-income,25,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,18,0.6978225547528504,0.5634054558377922,0.7458333483120456,0.1824278924742534,0.2142938269295176,1.06884161007368,0.21 to 1.07,0.70 (0.56-0.75),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
Income group,Low-income,25,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,17,0.1060368312572964,0.0797587708149857,0.1228777549459027,0.043118984130917,-0.0576970606543269,0.3372795609496559,-0.06 to 0.34,0.11 (0.08-0.12),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
Income group,Low-income,25,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,17,0.0665783088953231,0.0422768177764751,0.098492777112244,0.056215959335768895,-0.1209739023461225,0.2683773746583013,-0.12 to 0.27,0.07 (0.04-0.10),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
Income group,Low-income,25,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,17,0.0685550575479033,0.0438918610317645,0.0983058371722467,0.0544139761404822,-0.1184245654023103,0.2736450747055969,-0.12 to 0.27,0.07 (0.04-0.10),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
Income group,Lower-middle-income,50,historical female smoking,Historical female smoking,Tobacco exposure,%,42,3.5,1.8666666666666667,10.408333333333333,8.541666666666666,0.5,46.23333333333333,0.50 to 46.23,3.50 (1.87-10.41),"Mean of female smoking prevalence in 2000, 2005, and 2010."
Income group,Lower-middle-income,50,female smoking 2022,Current female smoking,Tobacco exposure,%,42,1.5,0.8250000000000001,3.95,3.125,0.2,26.8,0.20 to 26.80,1.50 (0.83-3.95),Female age-standardized current tobacco smoking prevalence in 2022.
Income group,Lower-middle-income,50,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,48,63.849999999999994,45.3,87.05,41.75,0.0999999999999943,99.0,0.10 to 99.00,63.85 (45.30-87.05),100 minus national clean fuel access in 2020.
Income group,Lower-middle-income,50,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,48,33.25,15.774999999999995,48.125,32.35000000000001,0.0,76.4,0.00 to 76.40,33.25 (15.77-48.12),Urban clean fuel access minus rural clean fuel access in 2020.
Income group,Lower-middle-income,50,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,50,24.73408,15.52337,37.581965,22.058594999999997,7.61811,63.15743,7.62 to 63.16,24.73 (15.52-37.58),National annual mean PM2.5 in 2019.
Income group,Lower-middle-income,50,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",50,3.0579068660736084,1.4261094033718111,4.769749999046326,3.3436405956745148,0.5245752930641174,17.36453628540039,0.52 to 17.36,3.06 (1.43-4.77),"Female trachea, bronchus, lung cancer mortality rate in 2021."
Income group,Lower-middle-income,50,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",50,83.76549911499023,41.40043067932129,125.06312942504884,83.66269874572755,15.801276206970217,381.1107177734375,15.80 to 381.11,83.77 (41.40-125.06),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
Income group,Lower-middle-income,50,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",50,85.2412251680117,41.76847383004295,126.05360002073485,84.2851261906919,16.004490663468168,384.1346175055412,16.00 to 384.13,85.24 (41.77-126.05),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
Income group,Lower-middle-income,50,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,41,0.1948331805134774,-0.084089995512206,0.5118367974251707,0.5959267929373767,-0.7243979771712489,0.9912421326365316,-0.72 to 0.99,0.19 (-0.08-0.51),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
Income group,Lower-middle-income,50,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,42,0.0098726146214331,-0.09661765918434262,0.060052173274865873,0.15666983245920849,-0.5914332516009005,0.3630202643112526,-0.59 to 0.36,0.01 (-0.10-0.06),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
Income group,Lower-middle-income,50,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,42,0.00043874534113099925,-0.058107634489754,0.08327398072526576,0.14138161521501977,-0.7933974276161349,0.4423607454211442,-0.79 to 0.44,0.00 (-0.06-0.08),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
Income group,Lower-middle-income,50,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,42,0.00010076152513661951,-0.0591871770417509,0.08470829907989783,0.1438954761216487,-0.788131718067521,0.4399438802100677,-0.79 to 0.44,0.00 (-0.06-0.08),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
Income group,Upper-middle-income,53,historical female smoking,Historical female smoking,Tobacco exposure,%,45,7.6,4.3,13.433333333333332,9.133333333333333,0.2666666666666666,39.03333333333333,0.27 to 39.03,7.60 (4.30-13.43),"Mean of female smoking prevalence in 2000, 2005, and 2010."
Income group,Upper-middle-income,53,female smoking 2022,Current female smoking,Tobacco exposure,%,45,4.0,1.9,9.5,7.6,0.1,39.1,0.10 to 39.10,4.00 (1.90-9.50),Female age-standardized current tobacco smoking prevalence in 2022.
Income group,Upper-middle-income,53,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,52,11.150000000000006,4.700000000000003,19.375,14.674999999999997,0.0999999999999943,77.0,0.10 to 77.00,11.15 (4.70-19.38),100 minus national clean fuel access in 2020.
Income group,Upper-middle-income,53,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,52,17.5,6.75,34.587500000000006,27.837500000000006,0.0,86.2,0.00 to 86.20,17.50 (6.75-34.59),Urban clean fuel access minus rural clean fuel access in 2020.
Income group,Upper-middle-income,53,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,53,17.82781,12.04087,25.16804,13.127170000000001,6.80654,41.30377,6.81 to 41.30,17.83 (12.04-25.17),National annual mean PM2.5 in 2019.
Income group,Upper-middle-income,53,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",53,8.340560913085938,4.476085662841797,11.73472785949707,7.258642196655273,1.1814955472946167,46.81939315795898,1.18 to 46.82,8.34 (4.48-11.73),"Female trachea, bronchus, lung cancer mortality rate in 2021."
Income group,Upper-middle-income,53,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",53,188.29660034179688,96.0142822265625,286.3226623535156,190.30838012695312,34.19679641723633,1116.9820556640625,34.20 to 1116.98,188.30 (96.01-286.32),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
Income group,Upper-middle-income,53,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",53,190.2677739874057,97.33331951323072,289.539564149974,192.2062446367433,35.30298518822092,1128.1675264262783,35.30 to 1128.17,190.27 (97.33-289.54),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
Income group,Upper-middle-income,53,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,45,-0.3563255018014692,-0.4841021826572432,-0.0951457116324255,0.3889564710248177,-0.7390484041006137,1.0674990104367248,-0.74 to 1.07,-0.36 (-0.48--0.10),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
Income group,Upper-middle-income,53,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,45,-0.0286077708185274,-0.2294265707992663,0.0974595754142522,0.32688614621351847,-0.6552659476174084,0.9737583431131313,-0.66 to 0.97,-0.03 (-0.23-0.10),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
Income group,Upper-middle-income,53,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,45,-0.0962099705610816,-0.1914364165367493,0.1132391349440354,0.30467555148078473,-0.7242690239946407,1.2703757864762033,-0.72 to 1.27,-0.10 (-0.19-0.11),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
Income group,Upper-middle-income,53,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,45,-0.0952499372605201,-0.1907560752458676,0.1096374412259802,0.3003935164718478,-0.7215368280002129,1.2610756790045743,-0.72 to 1.26,-0.10 (-0.19-0.11),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
Income group,High-income,64,historical female smoking,Historical female smoking,Tobacco exposure,%,58,22.9,9.149999999999999,28.4,19.25,0.5333333333333333,58.1,0.53 to 58.10,22.90 (9.15-28.40),"Mean of female smoking prevalence in 2000, 2005, and 2010."
Income group,High-income,64,female smoking 2022,Current female smoking,Tobacco exposure,%,58,17.2,6.25,22.674999999999997,16.424999999999997,0.4,44.6,0.40 to 44.60,17.20 (6.25-22.67),Female age-standardized current tobacco smoking prevalence in 2022.
Income group,High-income,64,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,62,0.0,0.0,0.0,0.0,0.0,4.099999999999994,0.00 to 4.10,0.00 (0.00-0.00),100 minus national clean fuel access in 2020.
Income group,High-income,64,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,62,0.0,0.0,0.0,0.0,0.0,9.799999999999995,0.00 to 9.80,0.00 (0.00-0.00),Urban clean fuel access minus rural clean fuel access in 2020.
Income group,High-income,64,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,63,10.73096,8.49997,14.56936,6.06939,5.19903,64.07714,5.20 to 64.08,10.73 (8.50-14.57),National annual mean PM2.5 in 2019.
Income group,High-income,64,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",64,24.681097984313965,12.51854395866394,37.496725082397454,24.978181123733513,1.4284849166870115,155.92454528808594,1.43 to 155.92,24.68 (12.52-37.50),"Female trachea, bronchus, lung cancer mortality rate in 2021."
Income group,High-income,64,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",64,512.2005157470703,266.8196907043457,722.0010070800781,455.1813163757324,38.1577033996582,2433.771240234375,38.16 to 2433.77,512.20 (266.82-722.00),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
Income group,High-income,64,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",64,519.2277388587412,270.30498876388026,734.3945052124143,464.089516448534,38.60828383582785,2473.292370584164,38.61 to 2473.29,519.23 (270.30-734.39),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
Income group,High-income,64,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,57,-0.2167769204554808,-0.5113456659665118,0.013630905299204,0.5249765712657157,-0.9054262601290354,0.5260945199464168,-0.91 to 0.53,-0.22 (-0.51-0.01),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
Income group,High-income,64,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,58,-0.1110232411995439,-0.40679881746322477,0.1291059427682547,0.5359047602314795,-0.9840524831676408,2.578295168407663,-0.98 to 2.58,-0.11 (-0.41-0.13),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
Income group,High-income,64,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,58,-0.1479004854640178,-0.4380031027649633,0.20257380647884088,0.6405769092438042,-1.153387447386238,3.0697992611439204,-1.15 to 3.07,-0.15 (-0.44-0.20),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
Income group,High-income,64,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,58,-0.144842012097921,-0.4384956415295283,0.20150552380929815,0.6400011653388264,-1.1362978455869082,3.039239092806412,-1.14 to 3.04,-0.14 (-0.44-0.20),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
Income group,Unclassified,5,historical female smoking,Historical female smoking,Tobacco exposure,%,2,15.55,8.175,22.925,14.75,0.8000000000000002,30.3,0.80 to 30.30,15.55 (8.18-22.93),"Mean of female smoking prevalence in 2000, 2005, and 2010."
Income group,Unclassified,5,female smoking 2022,Current female smoking,Tobacco exposure,%,2,11.549999999999999,6.2250000000000005,16.875,10.649999999999999,0.9,22.2,0.90 to 22.20,11.55 (6.23-16.88),Female age-standardized current tobacco smoking prevalence in 2022.
Income group,Unclassified,5,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,4,14.675000000000006,4.487500000000001,41.37500000000001,36.8875,1.5999999999999943,93.8,1.60 to 93.80,14.68 (4.49-41.38),100 minus national clean fuel access in 2020.
Income group,Unclassified,5,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,4,18.199999999999996,10.349999999999994,36.45,26.10000000000001,-0.2999999999999971,78.30000000000001,-0.30 to 78.30,18.20 (10.35-36.45),Urban clean fuel access minus rural clean fuel access in 2020.
Income group,Unclassified,5,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,4,12.007565000000001,7.536415,17.6116175,10.075202500000001,6.74203,21.80471,6.74 to 21.80,12.01 (7.54-17.61),National annual mean PM2.5 in 2019.
Income group,Unclassified,5,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",5,15.27880573272705,13.973526000976564,18.12651252746582,4.152986526489256,1.870569467544556,31.43937110900879,1.87 to 31.44,15.28 (13.97-18.13),"Female trachea, bronchus, lung cancer mortality rate in 2021."
Income group,Unclassified,5,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",5,356.2694396972656,340.79327392578125,412.883056640625,72.08978271484375,55.36110305786133,640.3436889648438,55.36 to 640.34,356.27 (340.79-412.88),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
Income group,Unclassified,5,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",4,351.825711145656,271.9430203572672,431.3010225476536,159.3580021903864,55.66451340798002,646.357391337767,55.66 to 646.36,351.83 (271.94-431.30),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
Income group,Unclassified,5,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,2,0.15863354995836415,0.08885690965406956,0.2284101902626587,0.13955328060858915,0.019080269349775,0.2981868305669533,0.02 to 0.30,0.16 (0.09-0.23),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
Income group,Unclassified,5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,1,0.1426791964438288,0.1426791964438288,0.1426791964438288,0.0,0.1426791964438288,0.1426791964438288,0.14 to 0.14,0.14 (0.14-0.14),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
Income group,Unclassified,5,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,1,0.1589049912695745,0.1589049912695745,0.1589049912695745,0.0,0.1589049912695745,0.1589049912695745,0.16 to 0.16,0.16 (0.16-0.16),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
Income group,Unclassified,5,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,1,0.1579577018031935,0.1579577018031935,0.1579577018031935,0.0,0.1579577018031935,0.1579577018031935,0.16 to 0.16,0.16 (0.16-0.16),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step5 descriptive patterns: descriptive by WHO region; step5 descriptive patterns: descriptive by income group.
