"Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments."
triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,triple exposure,1,1,1,1,1,1,1,1,1,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374
insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,34,34,34,34,34,34,34,34,34,17.258883248730964,17.258883248730964,17.258883248730964,17.258883248730964,17.258883248730964,17.258883248730964,17.258883248730964,17.258883248730964,17.258883248730964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.,Subtable 3. Typology subtype counts.
Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure subtype,Exposure subtype,Exposure subtype,Exposure subtype,Exposure subtype,Exposure subtype,Exposure subtype,Exposure subtype,Exposure subtype,N,N,N,N,N,N,N,N,N,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries
low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,39,39,39,39,39,39,39,39,39,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081
single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,ambient-pollution-dominant,ambient-pollution-dominant,ambient-pollution-dominant,ambient-pollution-dominant,ambient-pollution-dominant,ambient-pollution-dominant,ambient-pollution-dominant,ambient-pollution-dominant,ambient-pollution-dominant,24,24,24,24,24,24,24,24,24,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268,12.182741116751268
single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,energy-poverty-dominant,energy-poverty-dominant,energy-poverty-dominant,energy-poverty-dominant,energy-poverty-dominant,energy-poverty-dominant,energy-poverty-dominant,energy-poverty-dominant,energy-poverty-dominant,18,18,18,18,18,18,18,18,18,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452,9.137055837563452
single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,tobacco-dominant,tobacco-dominant,tobacco-dominant,tobacco-dominant,tobacco-dominant,tobacco-dominant,tobacco-dominant,tobacco-dominant,tobacco-dominant,46,46,46,46,46,46,46,46,46,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066,23.3502538071066
double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,energy poverty + ambient pollution,energy poverty + ambient pollution,energy poverty + ambient pollution,energy poverty + ambient pollution,energy poverty + ambient pollution,energy poverty + ambient pollution,energy poverty + ambient pollution,energy poverty + ambient pollution,energy poverty + ambient pollution,29,29,29,29,29,29,29,29,29,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117,14.720812182741117
double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,tobacco + ambient pollution,tobacco + ambient pollution,tobacco + ambient pollution,tobacco + ambient pollution,tobacco + ambient pollution,tobacco + ambient pollution,tobacco + ambient pollution,tobacco + ambient pollution,tobacco + ambient pollution,1,1,1,1,1,1,1,1,1,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695,0.5076142131979695
double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,tobacco + energy poverty,tobacco + energy poverty,tobacco + energy poverty,tobacco + energy poverty,tobacco + energy poverty,tobacco + energy poverty,tobacco + energy poverty,tobacco + energy poverty,tobacco + energy poverty,5,5,5,5,5,5,5,5,5,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478,2.5380710659898478
