Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.
Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.
Term,Estimate,Estimate,Estimate,Robust se,Robust se,Statistic,Statistic,Statistic,P value,P value,Conf low,Conf low,Conf low,Conf high,Conf high,Se type,Se type,Se note,Se note,Se note,Sensitivity domain,Sensitivity domain,Model id,Model id,Model id,Model label,Model label,N,N,N,Formula
z PM2.5 2019,0.023605674915391776,0.023605674915391776,0.023605674915391776,0.02653195332636175,0.02653195332636175,0.8897073888614726,0.8897073888614726,0.8897073888614726,0.37497567523104447,0.37497567523104447,-0.028396953604277256,-0.028396953604277256,-0.028396953604277256,0.07560830343506081,0.07560830343506081,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 clean access,S3 clean access,S3 clean access,Clean fuel access original scale + PM2.5 2019,Clean fuel access original scale + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel access s10 + z PM2.5 2019
(Intercept),0.0029258644090770494,0.0029258644090770494,0.0029258644090770494,0.03400014310673944,0.03400014310673944,0.0860544733559398,0.0860544733559398,0.0860544733559398,0.9315320686386863,0.9315320686386863,-0.06371441608013226,-0.06371441608013226,-0.06371441608013226,0.06956614489828636,0.06956614489828636,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 PM2.5 2015,S3 PM2.5 2015,S3 PM2.5 2015,Clean-fuel deficit + PM2.5 2015,Clean-fuel deficit + PM2.5 2015,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 2015 s10
z clean fuel deficit s10,-0.0010887519019844498,-0.0010887519019844498,-0.0010887519019844498,0.02652406668430322,0.02652406668430322,-0.04104769886696019,-0.04104769886696019,-0.04104769886696019,0.967309693602536,0.967309693602536,-0.053075922603218764,-0.053075922603218764,-0.053075922603218764,0.05089841879924986,0.05089841879924986,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 PM2.5 2015,S3 PM2.5 2015,S3 PM2.5 2015,Clean-fuel deficit + PM2.5 2015,Clean-fuel deficit + PM2.5 2015,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 2015 s10
z PM2.5 2015 s10,0.030650027639086162,0.030650027639086162,0.030650027639086162,0.02853904100190956,0.02853904100190956,1.0739683802632105,1.0739683802632105,1.0739683802632105,0.28447428668110214,0.28447428668110214,-0.02528649272465658,-0.02528649272465658,-0.02528649272465658,0.0865865480028289,0.0865865480028289,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 PM2.5 2015,S3 PM2.5 2015,S3 PM2.5 2015,Clean-fuel deficit + PM2.5 2015,Clean-fuel deficit + PM2.5 2015,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 2015 s10
(Intercept),0.0028698996297835833,0.0028698996297835833,0.0028698996297835833,0.034046794869021825,0.034046794869021825,0.08429279880306209,0.08429279880306209,0.08429279880306209,0.9329303458418853,0.9329303458418853,-0.0638618183134992,-0.0638618183134992,-0.0638618183134992,0.06960161757306636,0.06960161757306636,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 PM2.5 avg,S3 PM2.5 avg,S3 PM2.5 avg,Clean-fuel deficit + PM2.5 average 2010-2019,Clean-fuel deficit + PM2.5 average 2010-2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 avg 2010 2019 s10
z clean fuel deficit s10,-8.822233554053219e-4,-8.822233554053219e-4,-8.822233554053219e-4,0.026412523035701584,0.026412523035701584,-0.03340170699379336,-0.03340170699379336,-0.03340170699379336,0.9733964071139238,0.9733964071139238,-0.052650768505380426,-0.052650768505380426,-0.052650768505380426,0.050886321794569776,0.050886321794569776,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 PM2.5 avg,S3 PM2.5 avg,S3 PM2.5 avg,Clean-fuel deficit + PM2.5 average 2010-2019,Clean-fuel deficit + PM2.5 average 2010-2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 avg 2010 2019 s10
z PM2.5 avg 2010 2019 s10,0.03091849680241146,0.03091849680241146,0.03091849680241146,0.02897017684128978,0.02897017684128978,1.0672526084944305,1.0672526084944305,1.0672526084944305,0.2874857817569848,0.2874857817569848,-0.025863049806516512,-0.025863049806516512,-0.025863049806516512,0.08770004341133944,0.08770004341133944,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 PM2.5 avg,S3 PM2.5 avg,S3 PM2.5 avg,Clean-fuel deficit + PM2.5 average 2010-2019,Clean-fuel deficit + PM2.5 average 2010-2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 avg 2010 2019 s10
(Intercept),0.01899411781262213,0.01899411781262213,0.01899411781262213,0.10185490179506482,0.10185490179506482,0.18648211797247496,0.18648211797247496,0.18648211797247496,0.8523089864155582,0.8523089864155582,-0.1806414897057049,-0.1806414897057049,-0.1806414897057049,0.21862972533094918,0.21862972533094918,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 tertiles,S3 tertiles,S3 tertiles,Clean-fuel deficit tertile + PM2.5 tertile,Clean-fuel deficit tertile + PM2.5 tertile,161,161,161,primary mortality-based smoking-adjusted burden residual ~ clean fuel deficit tertile + PM2.5 tertile
clean fuel deficit tertileT2 mid,-0.06546064006049496,-0.06546064006049496,-0.06546064006049496,0.08819313326505573,0.08819313326505573,-0.742241914274204,-0.742241914274204,-0.742241914274204,0.45905688523362265,0.45905688523362265,-0.2383191812600042,-0.2383191812600042,-0.2383191812600042,0.10739790113901429,0.10739790113901429,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 tertiles,S3 tertiles,S3 tertiles,Clean-fuel deficit tertile + PM2.5 tertile,Clean-fuel deficit tertile + PM2.5 tertile,161,161,161,primary mortality-based smoking-adjusted burden residual ~ clean fuel deficit tertile + PM2.5 tertile
clean fuel deficit tertileT3 high,-0.05258448227382639,-0.05258448227382639,-0.05258448227382639,0.08288026421551829,0.08288026421551829,-0.6344632557768873,-0.6344632557768873,-0.6344632557768873,0.5267078750929808,0.5267078750929808,-0.21502980013624223,-0.21502980013624223,-0.21502980013624223,0.10986083558858944,0.10986083558858944,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 tertiles,S3 tertiles,S3 tertiles,Clean-fuel deficit tertile + PM2.5 tertile,Clean-fuel deficit tertile + PM2.5 tertile,161,161,161,primary mortality-based smoking-adjusted burden residual ~ clean fuel deficit tertile + PM2.5 tertile
